source,depth_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,history_scope,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
EU,1,360226,189077,3.8839424006256786,2.5,722.3329956649253,6.095123233574244,418.8058800600987,solo420_only,45,1,0.5248843781403897,0.5232533539706409,0.5265148715805713
EU,7,25464,13507,3.852143179835656,2.5,742.0504408317963,6.247710253742286,427.4546095593768,solo420_only,45,7,0.5304351240967641,0.524301159942785,0.5365599068463348
EU,8,72873,38606,3.814004511346097,2.5,738.3015474976173,6.209791340565473,427.565649437837,solo420_only,45,8+,0.5297709714160251,0.5261457027926442,0.5333931014851423
NA,3,14751,7809,3.9489006048900315,2.5555555555555554,716.0730493470654,6.04854761460443,413.9392037205541,solo420_only,45,3,0.5293878381126703,0.5213264105466046,0.5374339632886352
NA,4,9344,4881,3.925338003777541,2.5,709.5040827714009,6.064538526804693,414.4971704846629,solo420_only,45,4,0.522367294520548,0.5122323430285824,0.5324838625084265
NA,6,4367,2327,4.123103672852962,2.5833333333333335,718.971421467504,6.141792157915878,418.7006701064529,solo420_only,45,6,0.5328600870162583,0.5180402429977788,0.5476221706825004
KR,2,22971,12028,3.9082871707896434,2.5,687.5524121960602,5.991356127902414,409.3303483482152,solo420_only,45,2,0.5236167341430499,0.5171546533479957,0.5300709173678987
EU,5,54620,29173,3.8585374950921247,2.5,741.2386818879575,6.234904458954623,426.3844654913967,solo420_only,60,5,0.534108385206884,0.5299227329636401,0.5382892400593288
KR,3,14397,7592,3.870579037520366,2.5714285714285716,694.050532027051,6.014543474845033,411.3011894319706,solo420_only,60,3,0.5273320830728624,0.5191707211521686,0.5354788631968037
KR,4,9803,5290,3.8868828544841563,2.5714285714285716,699.4077734669914,6.035727570222974,413.03393047239,solo420_only,60,4,0.5396307252881771,0.5297504635313363,0.5494799393728663
KR,6,4893,2578,3.7516311066546377,2.5,699.0900153978715,6.0547628878405035,413.42276966081937,solo420_only,60,6,0.5268751277334969,0.512870016288622,0.5408380733466381
